"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"88","RT @yoonxjin_: When Jin frightened by the loud noise Jimin do this #jijin #<U+C9C0><U+C9C4> https://t.co/NjLcuO5tL6",FALSE,0,NA,2016-10-08 17:28:09,FALSE,NA,"784807609949786113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DramaticCrying",45,TRUE,FALSE,NA,NA
"89","RT @yoonxjin_: When Jin frightened by the loud noise Jimin do this #jijin #<U+C9C0><U+C9C4> https://t.co/NjLcuO5tL6",FALSE,0,NA,2016-10-08 17:17:05,FALSE,NA,"784804821249339392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kim_seokjjin",45,TRUE,FALSE,NA,NA
"90","RT @yoonxjin_: When Jin frightened by the loud noise Jimin do this #jijin #<U+C9C0><U+C9C4> https://t.co/NjLcuO5tL6",FALSE,0,NA,2016-10-08 17:15:23,FALSE,NA,"784804395858796544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yoonzora",45,TRUE,FALSE,NA,NA
"91","When Jin frightened by the loud noise Jimin do this #jijin #<U+C9C0><U+C9C4> https://t.co/NjLcuO5tL6",FALSE,40,NA,2016-10-08 17:11:48,FALSE,NA,"784803492720365570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yoonxjin_",45,FALSE,FALSE,NA,NA
"92","jin jimin
jijin
<U+C9C0><U+C9C4> means earthquake 
what a cute name for ship lmao",FALSE,0,NA,2016-10-08 14:45:21,FALSE,NA,"784766639950536705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mymsg93",0,FALSE,FALSE,NA,NA
"93","https://t.co/cFHHFbkwDm  earthquake damage follow to typhoon damage in Yeung-nam, South korea (because they crime) 2016.10.06 news <U+C9C0><U+C9C4> <U+C774><U+C5B4><U+C11C> <U+D0DC><U+D48D>",FALSE,0,NA,2016-10-08 10:41:43,FALSE,NA,"784705327228788736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alonaProphet",0,FALSE,FALSE,NA,NA
"94","https://t.co/2l2jeVLmXR  earthquake damage follow to typhoon damage in Yeung-nam, South korea (because they crime) 2016.10.06 news <U+C9C0><U+C9C4> <U+C774><U+C5B4><U+C11C> <U+D0DC><U+D48D>",FALSE,0,NA,2016-10-08 10:28:12,FALSE,NA,"784701925224697856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","commandofJESUS",0,FALSE,FALSE,NA,NA
"95","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016ttpv (OK) Loyalty Islands MLv 3.4 2016/10/08 02:46:07 https://t.co/81dOvxDwgr https://t.co/I8dYbtG6v6",FALSE,0,NA,2016-10-08 06:56:46,FALSE,NA,"784648716602839040",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"96","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tthy (OK) Loyalty Islands MLv 2.6 2016/10/07 22:50:31 https://t.co/0FxqXBelEc https://t.co/1hi4pEI8a8",FALSE,0,NA,2016-10-07 23:50:27,FALSE,NA,"784541427892154368",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"97","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016ttcc (OK) Tonga Islands mb 4.5 2016/10/07 19:49:04 https://t.co/6dAgdpjl1j https://t.co/6p1OpwhTbI",FALSE,0,NA,2016-10-07 22:12:29,FALSE,NA,"784516775144632320",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
